SE_Filename	BNC_Filename	Rand.	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
filename#0	SAAB	done		be inviting		invite			modal	A		future	no	no			E
filename#0	SAAB	done		were having		have			past	A		future	yes	no	other interesting function		E
filename#0	SAAB	done		'm not going					GOING TO	A		present	yes	no			E
filename#2	SAA3	done		's not going					GOING TO	A		present	yes	no			E
filename#2	SAA3	done		is you're going					GOING TO	A		present	yes	no			E
filename#2	SAA3	done		're not going					GOING TO	A		present	yes	no			E
filename#2	SAA3	done		're playing		play	c		present	A		present	yes	no			E
filename#3	SABT	done		are coming		come			present	A		past/present	yes	no			E
filename#4	SAB7	done		're saying		say			present	A		present	yes	no			E
filename#6	SADE	done		're going					GOING TO	A		present	yes	no			E
filename#6	SADE	done		is one meaning					NOT progressive	A		present	yes	no			E
filename#6	SADE	done		'm going					GOING TO	A		present	yes	no			E
filename#7	SAFZ	done		's going					GOING TO	A		present	yes	no			E
filename#7	SAFZ	done		're over-inspiring I'm saying		say	c		present	A		present	yes	no	emphasis/shock		E
filename#8	SAF8	done		are going					GOING TO	A		present	yes	no			E
filename#9	SAG4	done		be housebound depending					NOT progressive	A		present	yes	no			E
filename#9	SAG4	done		'm earning		earn	c		present	A		present	yes	yes			E
filename#9	SAG4	done		be he's earning		earn	c		present	A		present	yes	yes			E
filename#9	SAG4	done		was like laughing		laugh			past	A		present	no	no	framing	like 	E
filename#9	SAG4	done		'm like boiling					NOT progressive	A		present	yes	no		like 	E
filename#10	SAHB	done		'm gonna be fucking starving					GOING TO	A		present	yes	no			E
filename#11	SAMQ	done		's carrying		carry	c		present	A		general	yes	no			E
filename#12	SAQD	done		are you going					GOING TO	A		present	no	no			E
filename#12	SAQD	done		was reading		read			past	A		past	yes	no			E
filename#12	SAQD	done		was reading		read			past	A		past	yes	no			E
filename#12	SAQD	done		were saying		say			present	A		present	no	no			E
filename#12	SAQD	done		was good erm seeing					NOT progressive	A		present	yes	no			E
filename#12	SAQD	done		was like preying		prey			past	A		past	yes	yes			E
filename#12	SAQD	done		'm I'm going		go	c		present	A		present	no	no			E
filename#12	SAQD	done		's taking		take	c		present	A		present	unclear	unclear			E
filename#12	SAQD	done		was not for talking beating					NOT progressive	A		present	yes	no			E
filename#12	SAQD	done		're winning		win	c		present	A		present	yes	no			E
filename#13	SAR5	done		's doing		do	c		present	A		present	unclear	yes			E
filename#13	SAR5	done		're all boring					NOT progressive	A		present	yes	no			E
filename#13	SAR5	done		are you still living		live			present	A	q	present	yes	no			E
filename#13	SAR5	done		was saying		say			past	A		past	no	no			E
filename#13	SAR5	done		's fucking crying		cry	c		present	A		present	yes	yes			E
filename#13	SAR5	done		were fuming		fume			past	A		past	yes	no		were fuming	E
filename#13	SAR5	done		are fucking joking		joke			present	A		present	yes	no	emphasis/shock		E
filename#13	SAR5	done		were saying		say			past	A		past	yes	yes			E
filename#13	SAR5	done		is disgusting					NOT progressive	A		present	yes	no			E
filename#13	SAR5	done		was filming		film			present	A		past	yes	no			E
filename#13	SAR5	done		been washing		wash			perfect	A		past	yes	no		modal + present perfect	E
filename#13	SAR5	done		were questioning		question			past	A		past	yes	yes			E
filename#13	SAR5	done		's going		go on	c		present	A	q	past	yes	no			E
filename#13	SAR5	done		were doing		do			past	A		past	yes	yes			E
filename#13	SAR5	done		are banging		bang			present	A		past	yes	yes	emphasis/shock		E
filename#13	SAR5	done		been telling		tell	c	n	perfect	A		past	yes	yes			E
filename#14	SASC	done		's pretending		pretend	c		present	A		present	yes	yes			E
filename#14	SASC	done		's famous for sleeping					NOT progressive	A		present	yes	no			E
filename#14	SASC	done		're not helping		help	c	n	present	A		present	yes	no			E
filename#14	SASC	done		's just cyber bullying					NOT progressive	A		present	yes	no			E
filename#14	SASC	done		's what they're saying		say	c		present	A		present	yes	yes			E
filename#14	SASC	done		is doing		do			present	A		present	yes	yes			E
filename#14	SASC	done		is doing		do			present	A		present	yes	yes			E
filename#14	SASC	done		was terrorism he was talking		talk			past	A		past	yes	no			E
filename#14	SASC	done		're going					GOING TO	A		present	yes	no			E
filename#15	SASQ	done		're flicking		flick	c		present	A		general	yes	yes			E
filename#15	SASQ	done		was an English guy doing					NOT progressive	A		present	yes	no			E
filename#15	SASQ	done		was erm doing		do			past	A		past	yes	no			E
filename#15	SASQ	done		was going		go			past	A		past	yes	yes			E
filename#15	SASQ	done		was doing		do			past	A		past	yes	yes			E
filename#15	SASQ	done		're moving		move	c		present	A		past/present	yes	no			E
filename#16	SASU	done		be thinking		think			modal	A		present	yes	no	politeness/softening		E
filename#17	SAT9	done		weren't buying		buy	c	n	past	A		past	yes	yes			E
filename#18	SAUJ	done		was talking		talk			past	A		past	yes	no			E
filename#18	SAUJ	done		was thinking		think			past	A		past/present	yes	no	politeness/softening		E
filename#18	SAUJ	done		was saying		say			past	A		past	yes	no			E
filename#18	SAUJ	done		's getting		get	c		present	A		future	no	no			E
filename#18	SAUJ	done		is managing		manage			present	A		present	yes	no			E
filename#19	SAUR	done		was mostly travelling		travel			past	A		past	yes	no			E
filename#19	SAUR	done		was er					NOT progressive	A		present	yes	no			E
filename#19	SAUR	done		be lying		lie			modal	A		present	yes	unclear			E
filename#19	SAUR	done		're getting		attack	c		present	P		present	yes	no		get passive	E
filename#19	SAUR	done		is piloting		pilot	c		present	A		present	yes	no			E
filename#19	SAUR	done		's having		have	c		present	A		present	yes	no			E
filename#19	SAUR	done		're losing		lose	c		present	A		past/present	yes	no		gradual change	E
filename#19	SAUR	done		are you being		be			present	A	q	present	yes	no	emphasis/shock		E
filename#19	SAUR	done		are you sabotaging		sabotage			present	A	q	present	yes	no			E
filename#19	SAUR	done		're playing		play	c		present	A		general	yes	yes			E
filename#19	SAUR	done		're playing		play	c		present	A		present	yes	no			E
filename#19	SAUR	done		's not is it ticking		tick		n	present	A		present	yes	no			E
filename#19	SAUR	done		be moving		move			catenative	A		future	no	no			E
filename#19	SAUR	done		weren't doing		do	c	n	past	A		past	yes	no			E
filename#19	SAUR	done		's er					NOT progressive	A		present	yes	no			E
filename#19	SAUR	done		're blocking		block	c		present	A		general	yes	unclear			E
filename#20	SAVH	done		are you putting		put			present	A	q	future	no	no			E
filename#21	SAVN	done		was giving she was asking		ask			past	A		present	yes	no			E
filename#21	SAVN	done		was giving she was asking		give			past	A		present	yes	no			E
filename#21	SAVN	done		'm saying		say	c		present	A		present	yes	unclear	emphasis/shock		E
filename#21	SAVN	done		're using		use	c		present	A		general	yes	yes			E
filename#22	SAVW	done		'm having		have	c		present	A		present	yes	no			E
filename#22	SAVW	done		'm thinking		think			present	A		present	yes	no			E
filename#22	SAVW	done		're like randomly saying		say	c		present	A		unclear	no	yes			E
filename#22	SAVW	done		's wrong with staying					NOT progressive	A		present	yes	no			E
filename#22	SAVW	done		'm thinking		think	c		present	A		present	yes	no			E
filename#22	SAVW	done		're bringing		bring	c		present	A		present	no	no			E
filename#22	SAVW	done		are you not buying		buy		n	present	A	q	present	no	yes			E
filename#22	SAVW	done		's er					NOT progressive	A		present	yes	no			E
filename#22	SAVW	done		're marking		mark	c		present	A		present	yes	yes			E
filename#22	SAVW	done		was saying		say			past	A		past	no	no			E
filename#23	SAXQ	done		was going					GOING TO	A		present	yes	no			E
filename#24	SAZX	done		'm I'm reading		read	c		present	A		unclear	yes	no			E
filename#24	SAZX	done		'm watching		watch	c		present	A		present	yes	no			E
filename#24	SAZX	done		're hoping		hope	c		present	A	q	present	no	no	emphasis/shock		E
filename#24	SAZX	done		am speaking		speak	c		present	A		present	yes	no			E
filename#24	SAZX	done		's just stop playing					NOT progressive	A		present	yes	no			E
filename#25	SAZY	done		'm thinking		think	c		present	A		present	yes	no			E
filename#26	SAZ8	done		are they making		make			present	A	q	future	no	yes			E
filename#26	SAZ8	done		're concentrating					NOT progressive	A		present	yes	no			E
filename#27	SA2B	done		was going		go			past	A		unclear	unclear	unclear			E
filename#27	SA2B	done		's seriously embarrassing					NOT progressive	A		present	yes	no			E
filename#28	SA2J	done		is cooking		cook			present	A		future	no	no			E
filename#28	SA2J	done		was ah I was hoping		hope			past	A		past	yes	no	politeness/softening		E
filename#28	SA2J	done		are you going		go			present	A	q	future	no	no			E
filename#28	SA2J	done		are going		go			present	A	q	future	no	no			E
filename#28	SA2J	done		's what I'm looking		look	c		present	A		present	yes	no			E
filename#28	SA2J	done		'm not doing		do	c	n	present	A		future	no	no			E
filename#28	SA2J	done		was er					NOT progressive	A		present	yes	no			E
filename#28	SA2J	done		be paying		pay			modal	A		general	no	yes			E
filename#28	SA2J	done		're saying		say	c		present	A		present	no	no	emphasis/shock		E
filename#28	SA2J	done		's just hoping		hope	c		present	A		present	yes	no	emphasis/shock		E
filename#28	SA2J	done		be charging		charge			present	A		present	yes	no			E
filename#28	SA2J	done		's now saying		say	c		present	A		present	yes	no	emphasis/shock		E
filename#28	SA2J	done		be charging		charge			modal	A	q	general	no	yes			E
filename#28	SA2J	done		were we were doing		do			past	A		past	yes	yes			E
filename#28	SA2J	done		's going		go	c		present	A		future	no	no			E
filename#28	SA2J	done		're all buying		buy	c		present	A		present	no	yes			E
filename#28	SA2J	done		are going		go out			present	A		unclear	unclear	yes			E
filename#28	SA2J	done		were yeah like er moving					NOT progressive	A		present	yes	no			E
filename#29	SA4W	done		's worthwhile putting					NOT progressive	A		present	yes	no			E
filename#29	SA4W	done		be meeting		meet			modal	A		future	no	yes			E
filename#29	SA4W	done		're going					GOING TO	A		present	yes	no			E
filename#29	SA4W	done		're trending		trend	c		present	A		present	yes	no			E
filename#29	SA4W	done		're talking		talk	c		present	A		present	yes	no			E
filename#30	SA6K	done		were going		go			past	A		past	no	no			E
filename#30	SA6K	done		was telling us all charging		tell			past	A		past	yes	yes			E
filename#30	SA6K	done		're just picking		pick up	c		present	A		present	no	yes			E
filename#30	SA6K	done		was doing		do			past	A		past	yes	yes			E
filename#30	SA6K	done		're travelling		travel	c		present	A		present	yes	yes			E
filename#30	SA6K	done		is now going					GOING TO	A		present	yes	no			E
filename#30	SA6K	done		're really going					GOING TO	A		present	yes	no			E
filename#31	SA6W	done		'm comfortable just slep					NOT progressive	A		present	yes	no			E
filename#31	SA6W	done		're doing		do	c		present	A		present	yes	no			E
filename#31	SA6W	done		was just trying		try			past	A		past	yes	no			E
filename#31	SA6W	done		're eating		eat	c		present	A		present	no	yes			E
filename#32	SA69	done		was deciding		decide			past	A		present	yes	no			E
filename#32	SA69	done		was just yeah laughing		laugh			past	A		past	yes	no	framing		E
filename#32	SA69	done		was trying		try			past	A		past	yes	no			E
filename#32	SA69	done		been practicing		practice	c		perfect	A		past	yes	yes			E
filename#32	SA69	done		is what I'm trying		try	c		present	A		present	yes	no			E
filename#32	SA69	done		's interesting and er		interest	c		NOT progressive	A		present	yes	no			E
filename#32	SA69	done		is a pretty easy going		go			NOT progressive	A		present	yes	no			E
filename#32	SA69	done		'm interested in writing		write	c		NOT progressive	A		present	yes	no			E
filename#33	SA7J	done		are you forgetting		forget			present	A	q	unclear	no	yes			E
filename#33	SA7J	done		're reading		read	c		present	A		present	yes	unclear			E
filename#33	SA7J	done		's happening		happen	c		present	A	q	future	yes	no			E
filename#33	SA7J	done		were sitting		sit			past	A		present	yes	no			E
filename#33	SA7J	done		're managing		manage	c		present	A		present	yes	yes			E
filename#33	SA7J	done		's it going		go	c		present	A	q	present	yes	no			E
filename#33	SA7J	done		am I getting		pay			present	P	q	present	no	yes		get passive	E
filename#33	SA7J	done		were just giving		give			past	A		past	yes	no			E
filename#34	SA88	done		're going		go	c		GOING TO	A		present	yes	no			E
filename#34	SA88	done		be more interested in going		go			present	A	q	future	no	no			E
filename#34	SA88	done		was chatting		chat			past	A		present	yes	no			E
filename#34	SA88	done		're doing		do	c		present	A		present	yes	yes			E
filename#35	SA9P	done		was thinking		think			past	A		past	yes	no			E
filename#35	SA9P	done		was thinking		think			past	A		present	yes	no			E
filename#35	SA9P	done		're being		record	c		present	P		present	yes	no		evidence of “non-authentic” nature of data	E
filename#37	SA9U	done		's working		work	c		present	A		unclear	yes	unclear			E
filename#37	SA9U	done		was thinking		think			past	A		present	yes	no	politeness/softening	“I was thinking” is probably more often a reference to the present	E
filename#38	SBA6	done		's often their breeding		breed	c		NOT progressive	A		present	yes	no			E
filename#38	SBA6	done		was cooking		cook			past	A		past	yes	no			E
filename#40	SBBP	done		was if it was snowing		snow			past	A		unclear	yes	unclear			E
filename#40	SBBP	done		'm standing		stand	c		present	A		past	yes	no			E
filename#40	SBBP	done		was teaching		teach			past	A		past	yes	yes			E
filename#40	SBBP	done		'm just going		go	c		present	A		future	no	no			E
filename#41	SBB2	done		are you going		go			present	A	q	future	no	no			E
filename#41	SBB2	done		been talkies for er		NA			NOT progressive	A		perfect	yes	no			E
filename#41	SBB2	done		is hard this is starting		start			present	A		present	yes	no	gradual change		E
filename#41	SBB2	done		be a dividing		divide			NOT progressive	A		modal/infinitive	yes	no			E
filename#41	SBB2	done		'm keeping		keep	c		present	A		present	yes	no			E
filename#41	SBB2	done		're laying		lay	c		present	A		general	yes	no			E
filename#41	SBB2	done		'm just going		go	c		GOING TO	A		present	yes	no			E
filename#42	SBCL	done		are still going		go			GOING TO	A		present	yes	no			E
filename#42	SBCL	done		're going to be listening		go	c		catenative	A		future	yes	yes			E
filename#42	SBCL	done		's facilitating it putting		facilitate	c		present	A		general	no	yes			E
filename#42	SBCL	done		are completely contradicting		contradict			present	A		general	no	yes			E
filename#42	SBCL	done		'm not being		be	c	n	present	A		unclear	yes	unclear			E
filename#42	SBCL	done		're doing		do	c		present	A		general	no	no			E
filename#43	SBCZ	done		been painting		paint		n	perfect	A		past/present	yes	yes			E
filename#43	SBCZ	done		be seen to be doing		do			catenative	A		unclear	yes	yes	other interesting function		E
filename#43	SBCZ	done		were always touching		touch			past	A		past	yes	yes			E
filename#44	SBDD	done		's what I was thinking		think	c		past	A		present	yes	no			E
filename#45	SBEV	done		's a barman going		go	c		NOT progressive	A		present	yes	no			E
filename#45	SBEV	done		was family er were buying		buy			past	A		past	unclear	yes			E
filename#45	SBEV	done		's still dating		date	c		present	A		present	yes	unclear			E
filename#46	SBFN	done		is is his going		go			GOING TO	A		present	yes	no			E
filename#47	SBFR	done		's snowing it's snowing		snow	c		present	A		present	yes	no			E
filename#47	SBFR	done		're starting		start	c		present	A		future	no	no			E
filename#48	SBG4	done		is trying		try			present	A		present	yes	no			E
filename#48	SBG4	done		is going		go			present	A		present	yes	no			E
filename#48	SBG4	done		'm trying		try	c		present	A		present	yes	unclear	emphasis/shock		E
filename#48	SBG4	done		be hearing		hear			modal	A		future	no	no			E
filename#49	SBJM	done		were you sitting		sit			past	A	q	past	yes	no			E
filename#49	SBJM	done		were filming		film			past	A		past	yes	no			E
filename#49	SBJM	done		're having		have	c		present	A		future	yes	no			E
filename#50	SBKH	done		're going		go	c		present	A		unclear	unclear	unclear			E
filename#50	SBKH	done		'm just saying		say	c		present	A		present	yes	unclear	emphasis/shock		E
filename#51	SBKM	done		're playing		play	c		present	A		general	no	yes			E
filename#51	SBKM	done		was like trying		try			past	A		past	yes	no			E
filename#51	SBKM	done		was being		see			past	P		past	yes	no			E
filename#51	SBKM	done		're telling		tell	c		present	A		present	yes	unclear			E
filename#52	SBKN	done		wasn't living		live	c	n	past	A		past	yes	no			E
filename#52	SBKN	done		's getting		get	c		present	A		present	yes	no			E
filename#52	SBKN	done		're having		have	c		present	A		future	yes	no			E
filename#52	SBKN	done		was just thinking about covering		think			past	A		unclear	yes	no			E
filename#52	SBKN	done		were meeting		meet			past	A		general	yes	unclear			E
filename#52	SBKN	done		's talking		talk	c		present	A		present	yes	no			E
filename#52	SBKN	done		are you crying		cry			present	A	q	present	yes	no			E
filename#52	SBKN	done		were saying		say			past	A		past	yes	yes			E
filename#52	SBKN	done		's attracting		attract	c		present	A		past/present	yes	yes			E
filename#52	SBKN	done		be lovely and relaxing		relax			NOT progressive	A		modal/infinitive	yes	no			E
filename#52	SBKN	done		's looking		look	c		present	A		present	yes	no			E
filename#52	SBKN	done		's like with liv living		live	c		NOT progressive	A		present	yes	no			E
filename#52	SBKN	done		be looking		look for			modal	A		future	no	yes			E
filename#53	SBM6	done		's just er		NA	c		NOT progressive	A		present	yes	no			E
filename#53	SBM6	done		were doing		do			past	A		past	yes	yes			E
filename#53	SBM6	done		been looking		look	c		perfect	A		past/present	yes	yes			E
filename#53	SBM6	done		is not making		make		n	present	A		present	yes	no			E
filename#53	SBM6	done		is so rude and annoying		annoy			NOT progressive	A		present	yes	no			E
filename#53	SBM6	done		're all fucking		fuck	c		NOT progressive	A		present	yes	no			E
filename#53	SBM6	done		's wasting his life doing		waste	c		present	A		general	yes	yes			E
filename#53	SBM6	done		's always wanting		want	c		present	A		general	no	yes			E
filename#53	SBM6	done		was er		NA			NOT progressive	A		past	yes	no			E
filename#53	SBM6	done		're going I'm taking		go	c		present	A		future	unclear	no			E
filename#53	SBM6	done		was just saying		say			past	A		past	yes	no			E
filename#53	SBM6	done		was hanging		hang out			past	A		past	yes	yes			E
filename#53	SBM6	done		's the underpinning		underpin	c		NOT progressive	A		present	yes	no			E
filename#53	SBM6	done		are hot you're fucking		fuck	c		NOT progressive	A		present	yes	no			E
filename#54	SBNC	done		's not going		go	c	n	GOING TO	A		present	yes	no			E
filename#54	SBNC	done		are you going		go			GOING TO	A		present	yes	no			E
filename#54	SBNC	done		were just reading		read			past	A		past	yes	no			E
filename#56	SBPW	done		're dying		die	c		present	A	q	past/present	yes	no			E
filename#56	SBPW	done		are we going		go			GOING TO	A		present	yes	no			E
filename#57	SBQZ	done		'm going		go	c		present	A		present	yes	no			E
filename#58	SBQ6	done		be making		make			modal	A		general	yes	no			E
filename#58	SBQ6	done		're joking		joke	c		present	A		present	yes	no	emphasis/shock		E
filename#58	SBQ6	done		was doing		do			past	A		past	yes	no			E
filename#58	SBQ6	done		be working Saturday and dashing		work			catenative	A		future	yes	yes			E
filename#58	SBQ6	done		are you going		go			present	A	q	future	no	no			E
filename#58	SBQ6	done		is tiring		tire			NOT progressive	A		present	yes	no			E
filename#59	SBSJ	done		be seeing		see			catenative	A		future	yes	yes			E
filename#59	SBSJ	done		's not going		go	c	n	GOING TO	A		present	yes	no			E
filename#59	SBSJ	done		'm going		go	c		present	A		future	no	no			E
filename#59	SBSJ	done		'm not going		go	c	n	present	A		future	no	no			E
filename#59	SBSJ	done		is going		go			GOING TO	A		present	yes	no			E
filename#59	SBSJ	done		's only going		go	c		GOING TO	A		present	yes	no			E
filename#59	SBSJ	done		'm feeling		feel	c		present	A		present	yes	no		alternation	E
filename#59	SBSJ	done		're paying		pay	c		present	A		general	no	yes			E
filename#59	SBSJ	done		're going		go	c		GOING TO	A		present	yes	no			E
filename#60	SBS5	done		were trying		try			past	A		past	yes	no			E
filename#61	SBTC	done		are coming		come			present	A		future	no	no			E
filename#61	SBTC	done		was asking		ask			past	A		past	no	unclear			E
filename#61	SBTC	done		was saying		say			past	A		past	no	unclear			E
filename#61	SBTC	done		is it not having		have		n	present	A	q	present	yes	no			E
filename#61	SBTC	done		'm always having		have	c		present	A		general	no	yes			E
filename#61	SBTC	done		were having		have			past	A		past	no	yes			E
filename#61	SBTC	done		'm not going		go	c	n	GOING TO	A		present	yes	no			E
filename#61	SBTC	done		is just doing		do			NOT progressive	A		present	yes	no			E
filename#62	SBUN	done		be no discrimination depending		depend			NOT progressive	A		modal/infinitive	yes	no			E
filename#62	SBUN	done		are happening		happen			present	A		general	yes	yes			E
filename#62	SBUN	done		'm going		go	c		present	A		future	yes	no			E
filename#62	SBUN	done		're not planning		plan	c	n	present	A	unclear	future	yes	no			E
filename#63	SBVQ	done		was thinking		think			past	A		past	yes	no			E
filename#63	SBVQ	done		's er		NA	c		NOT progressive	A		present	yes	no			E
filename#63	SBVQ	done		are you going		go			present	A	q	future	no	no			E
filename#63	SBVQ	done		'm really looking		look forward	c		present	A		present	yes	no			E
filename#64	SBXK	done		's concentrating		concentrate	c		present	A		general	yes	no			E
filename#64	SBXK	done		'm not even going		go	c	n	GOING TO	A		present	yes	no			E
filename#64	SBXK	done		is he's going		go	c		GOING TO	A		present	yes	no			E
filename#64	SBXK	done		'm going		go	c		GOING TO	A		present	yes	no			E
filename#65	SBX7	done		'm trying		try	c		present	A		present	yes	yes			E
filename#65	SBX7	done		be patient kind and understanding		understand			NOT progressive	A		modal/infinitive	yes	no			E
filename#66	SBYC	done		's going		go	c		present	A		present	yes	no			E
filename#67	SBYQ	done		was saying		say			past	A		past	yes	no			E
filename#67	SBYQ	done		's running		run	c		present	A		general	yes	yes			E
filename#67	SBYQ	done		's going		go	c		present	A		present	yes	no			E
