Subcorpus	File_level	File_series	VDE	Collocate	Collocate_lemma	USAS	Concordance1	Concordance2	Concordance3
BNCspoken	filename#284		produce	art	art	Arts & Crafts		making	
Youth_Fiction	file_276		produce	basket	basket	Arts & Crafts		make	
BNCspoken	filename#1027		produce	bobbles	bobble	Arts & Crafts		made	
BNCspoken	filename#544		produce	candles	candle	Arts & Crafts		made	
BNCspoken	filename#446		produce	card	card	Arts & Crafts		made	
BNCspoken	filename#985		produce	cards	card	Arts & Crafts		making	
BNCspoken	filename#195		produce	cards	card	Arts & Crafts		made	
BNCspoken	filename#361		produce	colours	collage	Arts & Crafts		make	
BNCspoken	filename#243		produce	content	colour	Arts & Crafts		making	
spoken	B	Join the Team	produce	decorations	decoration	Arts & Crafts		make	
spoken	D	Piece of cake	produce	drawing	drawing	Arts & Crafts		made	
BNCspoken	filename#480		produce	fairytale	fairytale	Arts & Crafts		made	
BNCspoken	filename#950		produce	frames	frame	Arts & Crafts		make	
TxBnar	E	Achievers	produce	rat	rat	Arts & Crafts		made	
TxBnar	C	Access	produce	mask	mask	Arts & Crafts		made	
BNCspoken	filename#228		produce	panorama	panorama	Arts & Crafts		made	
Youth_Fiction	file_159		produce	parchment	parchment	Arts & Crafts		made	
BNCspoken	filename#1181		produce	picture	picture	Arts & Crafts		make	
spoken	B	Access	produce	pictures	picture	Arts & Crafts		made	
BNCspoken	filename#1214		produce	poetry	poetry	Arts & Crafts		made	
Youth_Fiction	file_297		produce	ring	ring	Arts & Crafts		made	
spoken	C	New Green Line	produce	ring	ring	Arts & Crafts		made	
spoken	C	New Green Line	produce	ring	ring	Arts & Crafts		made	
BNCspoken	filename#83		produce	stamps	stamp	Arts & Crafts		make	
Youth_Fiction	file_83		produce	thing	thing	Materials & Equipment		made	
BNCspoken	filename#162		produce	body	body	World, Life & Body		made	
BNCspoken	filename#1069		produce	filling	filling	Materials & Equipment		made	
spoken	C	Hi there	produce	fingerprints	fingerprint	World, Life & Body		make	
TxBnar	B	Join the Team	produce	hair	hair	Materials & Equipment		made	
Youth_Fiction	file_7		produce	leg	leg	World, Life & Body		make	
BNCspoken	filename#1091		produce	tea	teeth	World, Life & Body		made	
BNCspoken	filename#930		produce	bag	bag	Clothing & Accessories		make	
spoken	C	New Green Line	produce	belts	belt	Clothing & Accessories		make	
Youth_Fiction	file_106		produce	bracelet	bracelet	Clothing & Accessories		made	
Youth_Fiction	file_39		produce	clothes	clothes	Clothing & Accessories		make	
Youth_Fiction	file_262		produce	clothes	clothes	Clothing & Accessories		making	
spoken	D	New Green Line	produce	clothes	clothes	Clothing & Accessories		made	
spoken	A	Solutions	produce	clothes	clothes	Clothing & Accessories		made	
spoken	C	Solutions	produce	clothes	clothes	Clothing & Accessories		made	
spoken	A	Solutions	produce	clothes	clothes	Clothing & Accessories		make	
spoken	A	Solutions	produce	clothes	clothes	Clothing & Accessories		make	
spoken	D	Solutions	produce	clothing	clothing	Clothing & Accessories		made	
spoken	B	Join the Team	produce	costume	costume	Clothing & Accessories		made	
spoken	C	Piece of cake	produce	dress	dress	Clothing & Accessories		made	
spoken	C	New Green Line	produce	dress	dress	Clothing & Accessories		made	
spoken	D	Solutions	produce	dress	dress	Clothing & Accessories		made	
spoken	C	Green Line	produce	dress	dress	Clothing & Accessories		make	
Youth_Fiction	file_39		produce	dresses	dress	Clothing & Accessories		make	
Youth_Fiction	file_126		produce	fragrance	fragrance	Clothing & Accessories		Made	
BNCspoken	filename#786		produce	hat	hat	Clothing & Accessories		make	
Youth_Fiction	file_70		produce	helmet	helmet	Clothing & Accessories		made	
spoken	C	Solutions	produce	jacket	jacket	Clothing & Accessories		made	
TxBnar	D	New Green Line	produce	necklace	necklace	Clothing & Accessories		make	
BNCspoken	filename#120		produce	necklace	necklace	Clothing & Accessories		made	
BNCspoken	filename#120		produce	necklace	necklace	Clothing & Accessories		made	
TxBnar	C	Green Line	produce	shoes	shoe	Clothing & Accessories		make	
TxBnar	A	Join the Team	produce	shoes	shoe	Clothing & Accessories		make	
BNCspoken	filename#930		produce	sock	sock	Clothing & Accessories		making	
Youth_Fiction	file_190		produce	swings	T-shirt	Clothing & Accessories		made	
spoken	C	Achievers	produce	T-shirt	T-shirt	Clothing & Accessories		made	
spoken	D	Join the Team	produce	trousers	trousers	Clothing & Accessories		made	
Youth_Fiction	file_214		produce	book	book	Language & Communication		making	
BNCspoken	filename#254		produce	book	book	Language & Communication		made	
spoken	C	New Green Line	produce	copies	content	Language & Communication		make	
TxBnar	C	Join the Team	produce	report	report	Language & Communication		made	
TxBnar	E	Hi there	produce	list	list	Language & Communication		made	
Youth_Fiction	file_127		produce	list	list	Language & Communication		make	
Youth_Fiction	file_268		produce	magazine	magazine	Language & Communication		making	
TxBnar	A	Access	produce	poster	poster	Language & Communication		make	
TxBnar	A	Access	produce	poster	poster	Language & Communication		make	
TxBnar	B	New Green Line	produce	poster	poster	Language & Communication		make	
TxBnar	A	Access	produce	poster	poster	Language & Communication		make	
spoken	D	Solutions	produce	posters	poster	Language & Communication		made	
BNCspoken	filename#516		produce	programmes	programme	Language & Communication		making	
TxBnar	C	Join the Team	produce	recordings	recording	Language & Communication		made	
TxBnar	D	Green Line	produce	reports	report	Language & Communication		make	
BNCspoken	filename#269		produce	schedules	schedule	Language & Communication		make	
TxBnar	C	Join the Team	produce	signs	sign	Language & Communication		making	
TxBnar	C	Piece of cake	produce	story	story	Language & Communication		made	
Youth_Fiction	file_131		produce	teeth	term	Language & Communication		made	
Youth_Fiction	file_21		produce	will	will	Language & Communication		made	
spoken	C	Solutions	produce	words	word	Language & Communication		make	
BNCspoken	filename#1225		produce	booze	booze	Drink		made	
TxBnar	D	English in Mind	produce	coffee	cocoa	Drink		make	
Youth_Fiction	file_200		produce	coffee	coffee	Drink		made	
BNCspoken	filename#219		produce	coffee	coffee	Drink		making	
BNCspoken	filename#63		produce	coffee	coffee	Drink		make	
BNCspoken	filename#1120		produce	coffee	coffee	Drink		make	
BNCspoken	filename#926		produce	coffee	coffee	Drink		making	
Youth_Fiction	file_186		produce	collages	coffee	Drink		making	
Youth_Fiction	file_115		produce	cup of cocoa	cup of cocoa	Drink		Made	
TxBnar	D	Green Line	produce	cup of tea	cup of tea	Drink		made	
spoken	A	Access	produce	cup of tea	cup of tea	Drink		make	
spoken	A	Access	produce	cup of tea	cup of tea	Drink		makes	
BNCspoken	filename#565		produce	drink	drink	Drink		make	
TxBnar	E	Achievers	produce	alcohol	alcohol	Drink		made	
BNCspoken	filename#380		produce	hot chocolate	hot chocolate	Drink		make	
BNCspoken	filename#640		produce	jug of love	jug of love	Drink		make	
BNCspoken	filename#540		produce	milk	milk	Drink		made	
Youth_Fiction	file_76		produce	milkshake	milkshake	Drink		made	
Youth_Fiction	file_165		produce	pots of tea	pots of tea	Drink		make	
Youth_Fiction	file_67		produce	splot	splot	Drink		make	
Youth_Fiction	file_113		produce	TCS	tea	Drink		make	
TxBnar	D	New Green Line	produce	tea	tea	Drink		made	
TxBnar	B	Access	produce	tea	tea	Drink		make	
TxBnar	B	New Green Line	produce	tea	tea	Drink		make	
TxBnar	E	Join the Team	produce	tea	tea	Drink		make	
spoken	B	Access	produce	tea	tea	Drink		make	
spoken	B	New Green Line	produce	tea	tea	Drink		make	
spoken	E	New Green Line	produce	tea	tea	Drink		making	
BNCspoken	filename#946		produce	tea	tea	Drink		make	
BNCspoken	filename#1179		produce	tea	tea	Drink		make	
BNCspoken	filename#432		produce	tea	tea	Drink		make	
BNCspoken	filename#929		produce	tea	tea	Drink		make	
Youth_Fiction	file_159		produce	wine	wine	Drink		made	
BNCspoken	filename#1138		produce	wine	wine	Drink		make	
BNCspoken	filename#1095		produce	wine	wine	Drink		make	
BNCspoken	filename#1058		produce	bacon rolls	bacon roll	Food		make	
BNCspoken	filename#675		produce	bagels	bagel	Food		making	
BNCspoken	filename#350		produce	bhaji	bhaji	Food		make	
spoken	A	Solutions	produce	biscuits	biscuit	Food		make	
spoken	D	Access	produce	bread	bread	Food		make	
BNCspoken	filename#1073		produce	bread	bread	Food		make	
BNCspoken	filename#886		produce	bread	bread	Food		make	
BNCspoken	filename#804		produce	breadcrumbs	breadcrumb	Food		made	
TxBnar	D	Achievers	produce	breakfast	breakfast	Food		made	
TxBnar	C	Access	produce	breakfast	breakfast	Food		making	
Youth_Fiction	file_281		produce	breakfast	breakfast	Food		made	
spoken	A	Access	produce	breakfast	breakfast	Food		make	
spoken	A	Access	produce	breakfast	breakfast	Food		make	
spoken	A	New Green Line	produce	breakfast	breakfast	Food		make	
spoken	C	Hi there	produce	breakfast	breakfast	Food		make	
spoken	A	New Green Line	produce	breakfast	breakfast	Food		make	
spoken	A	Green Line	produce	breakfast	breakfast	Food		makes	
spoken	A	Green Line	produce	breakfast	breakfast	Food		makes	
spoken	A	New Green Line	produce	breakfast	breakfast	Food		makes	
spoken	A	Green Line	produce	breakfast	breakfast	Food		make	
spoken	B	Access	produce	breakfast	breakfast	Food		made	
BNCspoken	filename#511		produce	breakfast	breakfast	Food		making	
BNCspoken	filename#863		produce	brownies	brownies	Food		make	
BNCspoken	filename#139		produce	bulgar	bulgar	Food		making	
BNCspoken	filename#947		produce	burger	burger	Food		made	
TxBnar	A	Green Line	produce	cake	cake	Food		making	
spoken	E	Hi there	produce	cake	cake	Food		make	
spoken	A	New Green Line	produce	cake	cake	Food		make	
spoken	A	Green Line	produce	cake	cake	Food		make	
spoken	A	Green Line	produce	cake	cake	Food		make	
spoken	A	Solutions	produce	cake	cake	Food		make	
spoken	A	Green Line	produce	cake	cake	Food		make	
BNCspoken	filename#271		produce	cake	cake	Food		made	
BNCspoken	filename#90		produce	cake	cake	Food		make	
BNCspoken	filename#54		produce	cake	cake	Food		making	
spoken	B	English in Mind	produce	cakes	cake	Food		make	
spoken	B	English in Mind	produce	cakes	cake	Food		making	
spoken	C	English in Mind	produce	cakes	cake	Food		make	
BNCspoken	filename#886		produce	cakes	cake	Food		make	
BNCspoken	filename#464		produce	cakes	cake	Food		made	
BNCspoken	filename#960		produce	canapés	canapé	Food		make	
BNCspoken	filename#609		produce	cheese	cheese	Food		making	
BNCspoken	filename#24		produce	cheese	cheese	Food		made	
TxBnar	D	Green Line	produce	chili	chili	Food		make	
BNCspoken	filename#400		produce	chips	chips	Food		made	
BNCspoken	filename#389		produce	chips	chips	Food		make	
spoken	B	Access	produce	chocolates	chocolate	Food		makes	
spoken	D	New Green Line	produce	chowder	chowder	Food		make	
BNCspoken	filename#930		produce	chutney	chutney	Food		make	
spoken	A	Hi there	produce	crumble	crumble	Food		make	
BNCspoken	filename#604		produce	crumble	crumble	Food		made	
BNCspoken	filename#1143		produce	curries	curry	Food		make	
TxBnar	C	Access	produce	curry	curry	Food		make	
BNCspoken	filename#141		produce	curry	curry	Food		made	
BNCspoken	filename#391		produce	curry	curry	Food		make	
TxBnar	A	Access	produce	dinner	dinner	Food		made	
spoken	A	New Green Line	produce	dinner	dinner	Food		making	
spoken	D	New Green Line	produce	dinner	dinner	Food		made	
spoken	A	Solutions	produce	dinner	dinner	Food		make	
BNCspoken	filename#852		produce	supper	supper	Food		making	
BNCspoken	filename#189		produce	[food]	[food]	Food		make	
BNCspoken	filename#1201		produce	[food]	[food]	Food		makes	
BNCspoken	filename#556		produce	[food]	[food]	Food		making	
BNCspoken	filename#646		produce	[food]	[food]	Food		make	
BNCspoken	filename#1063		produce	[food]	[food]	Food		make	
BNCspoken	filename#564		produce	[food]	[food]	Food		made	
TxBnar	A	Green Line	produce	[food]	[food]	Food		makes	
TxBnar	D	New Green Line	produce	food	food	Food		making	
Youth_Fiction	file_240		produce	food	food	Food		makes	
spoken	B	Access	produce	fruit	fruit	Food		makes	
BNCspoken	filename#946		produce	fudge	fudge	Food		make	
BNCspoken	filename#2		produce	ginger honey lemon	ginger honey lemon	Food		make	
spoken	B	Hi there	produce	gingerbread men	gingerbread men	Food		made	
BNCspoken	filename#71		produce	gravy	gravy	Food		make	
BNCspoken	filename#189		produce	gravy	gravy	Food		make	
BNCspoken	filename#170		produce	gravy	gravy	Food		make	
Youth_Fiction	file_237		produce	gruel	gruel	Food		made	
BNCspoken	filename#953		produce	guacamole	guacamole	Food		made	
BNCspoken	filename#271		produce	gypsy tart	gypsy tart	Food		make	
BNCspoken	filename#240		produce	ice cream	ice cream	Food		make	
BNCspoken	filename#1118		produce	icing	icing	Food		make	
BNCspoken	filename#125		produce	jam	jam	Food		making	
BNCspoken	filename#1188		produce	jam	jam	Food		made	
BNCspoken	filename#91		produce	jams	jam	Food		made	
Youth_Fiction	file_28		produce	junk [food]	junk [food]	Food		made	
spoken	B	New Green Line	produce	kimbap	kimbap	Food		made	
BNCspoken	filename#1038		produce	lasagne	lasagne	Food		made	
TxBnar	A	Green Line	produce	lunch	lunch	Food		making	
TxBnar	A	Green Line	produce	lunch	lunch	Food		making	
TxBnar	E	Hi there	produce	lunch	lunch	Food		making	
BNCspoken	filename#454		produce	mash	mash	Food		make	
BNCspoken	filename#630		produce	matzah ball	matzah	Food		make	
spoken	C	New Green Line	produce	meal	meal	Food		make	
Youth_Fiction	file_94		produce	meat patties	meat pattie	Food		makes	
BNCspoken	filename#767		produce	mince meat	mince meat	Food		make	
BNCspoken	filename#767		produce	mince pies	mince pie	Food		making	
BNCspoken	filename#767		produce	mince pies	mince pie	Food		make	
BNCspoken	filename#1130		produce	mousse	mousse	Food		make	
spoken	D	Access	produce	muffins	muffin	Food		making	
Youth_Fiction	file_174		produce	objects	omelet	Food		made	
Youth_Fiction	file_141		produce	opening	pancake	Food		make	
spoken	C	Solutions	produce	pancake	pancake	Food		makes	
BNCspoken	filename#86		produce	pancake	pancake	Food		make	
TxBnar	C	Access	produce	pancakes	pancake	Food		made	
BNCspoken	filename#681		produce	pancakes and cupcakes	pancakes and cupcake	Food		making	
BNCspoken	filename#1017		produce	pasta	pasta	Food		make	
spoken	B	Access	produce	pasties	pasty	Food		make	
spoken	A	New Green Line	produce	pie	pie	Food		make	
spoken	B	English in Mind	produce	pitta	pitta	Food		made	
spoken	D	New Green Line	produce	pizza	pizza	Food		make	
spoken	D	New Green Line	produce	pizza	pizza	Food		make	
BNCspoken	filename#765		produce	pizza	pizza	Food		made	
spoken	B	Hi there	produce	pizzas	pizza	Food		making	
Youth_Fiction	file_216		produce	ring	ring	Arts & Crafts		made	
spoken	B	Access	produce	salad	salad	Food		make	
spoken	A	New Green Line	produce	salad	salad	Food		make	
spoken	E	Access	produce	salad	salad	Food		making	
TxBnar	B	Access	produce	sandwich	sandwich	Food		made	
TxBnar	B	Access	produce	sandwich	sandwich	Food		make	
TxBnar	B	Access	produce	sandwich	sandwich	Food		made	
Youth_Fiction	file_198		produce	sandwich	sandwich	Food		made	
spoken	C	New Green Line	produce	sandwich	sandwich	Food		make	
spoken	C	New Green Line	produce	sandwich	sandwich	Food		make	
spoken	E	English in Mind	produce	sandwich	sandwich	Food		made	
spoken	C	Green Line	produce	sandwich	sandwich	Food		make	
spoken	A	New Green Line	produce	sandwich	sandwich	Food		make	
BNCspoken	filename#609		produce	sandwich	sandwich	Food		make	
spoken	C	Solutions	produce	sandwiches	sandwich	Food		made	
spoken	C	Solutions	produce	sandwiches	sandwich	Food		made	
spoken	A	Solutions	produce	sandwiches	sandwich	Food		make	
BNCspoken	filename#993		produce	sandwiches	sandwich	Food		made	
